fecha,departamento,municipio,evento,codificacionsegundivipola,muertos,heridos,desapa,personas,familias,viviendasdestru,viviendasaver,vias,ptesvehic,ptepeat,acued,alcant,csalud,ceducat,ccomunit,hectareas,otros,subsidiodearriendo,fechatramiteadtivo,menajes,apaliment,materialesconst,sacos,otros1,transeconomicas,recejecutados
05/21/2011 12:00:00 AM,RISARALDA,GUÁTICA,VENDAVAL,66318,,,,10,2,,2,,,,1,,,,,,,,,0,0,0,0,,0,0
11/20/1999 12:00:00 AM,SANTANDER,BUCARAMANGA,INUNDACION,68001,,,,500,100,,,,,,,,,,,,,,36493,,2128000,,,,,2128000
12/31/2010 12:00:00 AM,ANTIOQUIA,SAN PEDRO DE URABÁ,INUNDACION,05665,,,,932,256,,254,,,,,,,,,,,,,0,0,0,0,,0,0
04/30/2013 12:00:00 AM,BOYACA,TASCO,DESLIZAMIENTO,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
08/21/2013 12:00:00 AM,TOLIMA,ALPUJARRA,INCENDIO FORESTAL,73024,,,,,,,,,,,,,,,,20,,0,,0,0,0,0,,0,0
08/01/2008 12:00:00 AM,ANTIOQUIA,FRONTINO,VENDAVAL,05284,,,,270,54,7,47,,,,,,,,,,,,39731,0,0,0,0,,109212319,109212319
09/14/1999 12:00:00 AM,CAUCA,PATÍA,INUNDACION,19532,,,,195,40,,40,,,,,,,,,,,,36443,,,,,,10000000,10000000
05/06/1998 12:00:00 AM,ANTIOQUIA,ANGELÓPOLIS,INUNDACION,05036,,,,,,,,,,,,,,,,,,,,,,,,,,0
04/19/2013 12:00:00 AM,TOLIMA,VENADILLO,VENDAVAL,73861,,,,,,,,1,,,,,,,,,,0,,0,0,0,0,,0,0
05/17/2012 12:00:00 AM,ANTIOQUIA,GIRALDO,INUNDACION,05306,,,,,,,,,,,,,,,,,,,,0,0,0,0,,30000000,30000000
11/28/2000 12:00:00 AM,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,76001,,2,,1060,212,212,,,,,,,,,,,,,36875,11519531.41,3898800,0,0,,,15418331.41
01/05/2001 12:00:00 AM,RISARALDA,PEREIRA,INCENDIO ESTRUCTURAL,66001,,,,35,6,4,,,,,,,,,,,,,,0,0,0,0,,,0
05/08/2008 12:00:00 AM,CHOCÓ,EL CANTÓN DEL SAN PABLO,INUNDACION,27135,,,,1694,388,,289,,,,,,,,,,,,39604,73357376,19982000,0,0,24194864.72,,117534240.7
11/10/2006 12:00:00 AM,BOYACÁ,DEPARTAMENTO,VARIOS,,,,,,,,,,,,,,,,,,,,39070,0,0,0,0,8000000,,8000000
02/01/2010 12:00:00 AM,CUNDINAMARCA,GUASCA,SEQUIA,25322,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
08/03/2011 12:00:00 AM,CESAR,ASTREA,INUNDACION,20032,,,,75,15,,15,,,,,,,,,,,,,0,0,0,0,,0,0
04/01/2013 12:00:00 AM,TOLIMA,VILLAHERMOSA,INCENDIO FORESTAL,73870,,,,,,,,,,,,,,,,1,,0,,0,0,0,0,,0,0
04/20/2006 12:00:00 AM,BOYACÁ,BRICEÑO,INUNDACION,15106,,,,250,50,,,,,,,,,,,,,,,3130000,1925000,0,0,,24999850,30054850
04/10/2012 12:00:00 AM,HUILA,TERUEL,DESLIZAMIENTO,41801,,,,15,3,,3,,,,,,,,,4,,,,0,0,0,0,,0,0
07/18/2012 12:00:00 AM,CHOCÓ,LLORÓ,VENDAVAL,27413,,,,190,38,,38,,,,,,,,,,,,,0,0,0,0,,0,0
11/02/2008 12:00:00 AM,META,ACACÍAS,INUNDACION,50006,,,,42,16,,16,,,,,,,,,,,,,0,0,0,0,,,0
02/13/2012 12:00:00 AM,VALLE DEL CAUCA,OBANDO,INUNDACION,76497,,,,400,80,,80,,,,,,,,,,,,,0,0,0,0,,200000000,200000000
04/25/2003 12:00:00 AM,VALLE DEL CAUCA,CALI,INUNDACION,76001,2,4,,200,45,10,10,1,,1,,,,,,,,,37750,0,0,0,0,7500000,,7500000
06/11/2002 12:00:00 AM,BOLÍVAR,SAN PABLO,INUNDACION,13670,,,,648,136,,,,,,,,,,,,,,,0,0,0,0,,,0
12/14/2008 12:00:00 AM,ANTIOQUIA,SEGOVIA,INUNDACION,05736,,,,,,,,,,,,,,,,24,PERDIDAS EN CULTIVOS,,,0,0,0,0,,,0
11/09/2006 12:00:00 AM,BOGOTÁ. D.C.,BOGOTÁ. D.C.,INUNDACION,11001,,,,150,30,,30,,,,,,,,,,,,,0,0,0,0,,,0
11/04/2007 12:00:00 AM,SANTANDER,LANDÁZURI,INUNDACION,68385,,,,150,30,2,27,,,,,,,,,30,,,,0,0,0,0,,,0
03/14/2012 12:00:00 AM,ANTIOQUIA,TURBO,INCENDIO FORESTAL,05837,,,,,,,,,,,,,,,,28,,,,0,0,0,0,,0,0
06/07/2007 12:00:00 AM,MAGDALENA,PIJIÑO DEL CARMEN,INUNDACION,47545,,,,3150,630,,,,,,,,,,,,,,39340,0,26145000,0,0,,,26145000
08/04/2010 12:00:00 AM,BOLÍVAR,SAN CRISTÓBAL,INUNDACION,13620,,,,4958,1340,,994,,,,,,,,,,,,40415,81655000,73950000,0,9048000,12000000,30000000,206653000
09/17/2008 12:00:00 AM,VALLE DEL CAUCA,BUENAVENTURA,CONTAMINACION,76109,3,15,,,,,,,,,,,,,,,,,,0,0,0,0,,,0
04/29/2010 12:00:00 AM,BOGOTÁ. D.C.,BOGOTÁ. D.C.,DESLIZAMIENTO,11001,1,9,,373,77,,,,,,,,,,,,,,,0,0,0,0,,0,0
05/20/2006 12:00:00 AM,SANTANDER,CARCASÍ,INUNDACION,68152,,,,76,19,,19,,,,,,,,,,,,,0,0,0,0,,,0
06/26/2012 12:00:00 AM,CÓRDOBA,CIÉNAGA DE ORO,VENDAVAL,23189,,,,245,54,10,44,,,,,,,,,,,,,0,0,0,0,,0,0
09/30/2012 12:00:00 AM,VALLE DEL CAUCA,BOLÍVAR,SISMO,76100,,,,80,16,,16,,,,,,,,,,,,,0,0,0,0,,0,0
07/24/2008 12:00:00 AM,CUNDINAMARCA,LA CALERA,DESLIZAMIENTO,25377,,,,17,3,,3,,,,,,,,,,,,,0,0,0,0,,,0
08/04/2012 12:00:00 AM,CUNDINAMARCA,NIMAIMA,INCENDIO FORESTAL,25489,,,,,,,,,,,,,,,,2,,,,0,0,0,0,,0,0
06/30/2011 12:00:00 AM,CUNDINAMARCA,GUATAQUÍ,INUNDACION,25324,,,,74,49,,49,,,,,,,,,,,,,0,0,0,0,,0,0
12/27/2010 12:00:00 AM,CHOCÓ,QUIBDÓ,DESLIZAMIENTO,27001,,,,5,1,,,,,,,,,,,,,,,0,0,0,0,,0,0
03/15/2013 12:00:00 AM,VALLE DEL CAUCA,JAMUNDI,DESLIZAMIENTO,,,,,10,2,,2,,,,,,,,,,,0,,0,0,0,0,,0,0
01/16/2009 12:00:00 AM,ANTIOQUIA,MEDELLÍN,DESLIZAMIENTO,05001,,,,173,35,,,,,,,,,,,,,,39939,9688000,0,0,0,,,9688000
10/17/1999 12:00:00 AM,MAGDALENA,PEDRAZA,INUNDACION,47541,,,,2182,789,,,,,,,,,,,,,,36474,,25633500,4500000,,,,30133500
07/29/2002 12:00:00 AM,CÓRDOBA,AYAPEL,VENDAVAL,23068,,,,325,65,,49,,,,,,,,3,,,,,0,0,0,0,,,0
04/23/2003 12:00:00 AM,BOGOTÁ. D.C.,BOGOTÁ. D.C.,DESLIZAMIENTO,11001,,,,60,12,,12,,,,,,,,,,,,,0,0,0,0,,,0
03/13/2012 12:00:00 AM,ANTIOQUIA,MEDELLÍN,INCENDIO FORESTAL,05001,,,,,,,,,,,,,,,,3,,,,0,0,0,0,,0,0
11/15/2006 12:00:00 AM,CASANARE,MANÍ,INUNDACION,85139,,,,1655,331,,,,,,,,,,,,,,,20720600,12743500,0,0,,,33464100
01/28/2001 12:00:00 AM,CUNDINAMARCA,LENGUAZAQUE,INCENDIO FORESTAL,25407,,,,,,,,,,,,,,,,5,QUEMADAS 5 HAS.,,,0,0,0,0,,,0
11/15/2004 12:00:00 AM,CUNDINAMARCA,DEPARTAMENTO,VARIOS,,,,,,,,,,,,,,,,,,,,38337,11700000,5400000,20053500,0,,,37153500
06/06/2007 12:00:00 AM,BOLÍVAR,HATILLO DE LOBA,INUNDACION,13300,,,,11265,2253,,,,,,,,,,,,,,,0,0,0,0,,,0
05/21/2004 12:00:00 AM,MAGDALENA,SITIONUEVO,INUNDACION,47745,,,,1800,400,,,,,,,,,,,,,,,0,0,0,0,,,0
04/15/2012 12:00:00 AM,RISARALDA,APÍA,INUNDACION,66045,,,,20,5,,5,,,,,,,,,,,,,0,0,0,0,,0,0
09/13/2010 12:00:00 AM,MAGDALENA,CIÉNAGA,DESLIZAMIENTO,47189,2,4,,6,1,1,,,,,,,,,,,,,,0,0,0,0,,0,0
04/02/2012 12:00:00 AM,CAQUETÁ,FLORENCIA,INUNDACION,18001,,,,,,,,,,,,,,,,,,,,0,0,52069917.6,0,125048277.2,0,177118194.8
04/17/2008 12:00:00 AM,SUCRE,SINCELEJO,DESLIZAMIENTO,70001,,,,400,80,,80,,,,,,,,,,,,39583,0,0,0,0,105600000,,105600000
05/22/2005 12:00:00 AM,BOGOTÁ. D.C.,BOGOTÁ. D.C.,INUNDACION,11001,,,,120,24,4,20,,,,,,,,,,,,,0,0,0,0,,,0
05/09/2006 12:00:00 AM,TOLIMA,HONDA,DESLIZAMIENTO,73349,,,,8,2,2,,,,,,,,,,,,,,0,0,0,0,,,0
02/22/1999 12:00:00 AM,CUNDINAMARCA,ÚTICA,AVALANCHA,25851,,,,50,10,,,,,,,,,,,,AVFECTADO MURO DE CONTENCION,,,,,,,,,0
05/02/2005 12:00:00 AM,VALLE DEL CAUCA,BUGALAGRANDE,VENDAVAL,76113,,,,235,47,,47,,,,,,,,,,,,38547,2820000,4070000,7047000,0,,,13937000
10/05/2010 12:00:00 AM,QUINDIO,CÓRDOBA,DESLIZAMIENTO,63212,,,,1385,277,,,16,,,,,,,,,,,40464,0,0,0,0,,55000000,55000000
02/12/2013 12:00:00 AM,TOLIMA,ATACO,INUNDACION,73067,,,,35,7,,7,,,,,,,,,,,0,,0,0,0,0,,0,0
07/12/2010 12:00:00 AM,ARAUCA,PUERTO RONDÓN,INUNDACION,81591,,,,332,73,,73,,,,,,,,,,,,,0,0,0,0,,0,0
04/20/2011 12:00:00 AM,CHOCÓ,SAN JOSÉ DEL PALMAR,VENDAVAL,27660,,,,2900,580,,30,,,,,,,,,,,,,5600000,0,44000000,0,,25000000,74600000
10/20/2011 12:00:00 AM,CESAR,BECERRIL,INUNDACION,20045,,,,1100,220,,,,,,,,,,,,,,,0,18700000,0,0,,0,18700000
07/23/2012 12:00:00 AM,BOYACÁ,TIPACOQUE,INCENDIO FORESTAL,15810,,,,,,,,,,,,,,,,10,,,,0,0,0,0,,0,0
05/31/2004 12:00:00 AM,BOYACÁ,PAUNA,INUNDACION,15531,,,,4800,800,,,,,,,,,,,,,,38203,0,26800000,0,0,,,26800000
07/15/2006 12:00:00 AM,NORTE DE SANTANDER,SALAZAR,VENDAVAL,54660,,,,70,14,,14,,,,,,,,,,,,,0,0,0,0,,,0
01/05/2013 12:00:00 AM,MAGDALENA,FUNDACION,INCENDIO FORESTAL,,,,,,,,,,,,,,,,,4,,0,,0,0,0,0,,0,0
12/01/2008 12:00:00 AM,CALDAS,MARULANDA,VENDAVAL,17446,,,,50,10,,10,,,,,,,,,,,,,0,0,0,0,,,0
04/19/2012 12:00:00 AM,CUNDINAMARCA,SESQUILÉ,INUNDACION,25736,,,,80,15,,15,,,,,,,,,,,,,0,0,0,0,,0,0
04/04/2012 12:00:00 AM,CHOCÓ,QUIBDÓ,INCENDIO ESTRUCTURAL,27001,,,,41,9,5,4,,,,,,,,,,,,,0,0,0,0,,0,0
10/05/1998 12:00:00 AM,ANTIOQUIA,CHIGORODÓ,INUNDACION,05172,,1,,23,3,,,,,,,,,,,,,,,,,,,,,0
09/20/2013 12:00:00 AM,CESAR,VALLEDUPAR,INUNDACION,20001,,,,105,21,,4,,,,,,,,,,,0,,0,0,0,0,,0,0
02/26/2012 12:00:00 AM,CAQUETÁ,SAN VICENTE DEL CAGUÁN,INCENDIO FORESTAL,18753,,,,,,,,,,,,,,,,191,,,,0,0,0,0,,0,0
03/16/2013 12:00:00 AM,CESAR,LA PAZ,VENDAVAL,20621,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
08/20/2012 12:00:00 AM,NORTE DE SANTANDER,GRAMALOTE,DESLIZAMIENTO,54313,,,,,,,,,,,,,,,,,,,,0,163743462,0,0,,0,163743462
01/31/2001 12:00:00 AM,CUNDINAMARCA,COTA,INCENDIO FORESTAL,25214,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0
10/12/2000 12:00:00 AM,SUCRE,GUARANDA,INUNDACION,70265,,,,1500,300,,,,,,,,,,,,,,36823,0,7200000,0,0,,,7200000
11/27/2001 12:00:00 AM,SANTANDER,LEBRIJA,INUNDACION,68406,,4,,568,152,2,29,1,,,1,,,,,,PERDIDA DE CULTIVOS,,,0,0,0,0,,,0
04/12/2000 12:00:00 AM,CHOCÓ,NUQUÍ,SISMO,27495,,,,,,,,,,,,,,,,,,,36630,0,0,0,0,,4059000,4059000
08/31/2013 12:00:00 AM,HUILA,AIPE,INCENDIO FORESTAL,41016,,,,,,,,,,,,,,,,5,,0,,0,0,0,0,,0,0
05/08/1998 12:00:00 AM,BOYACÁ,EL ESPINO,AVALANCHA,15248,,,,320,65,1,5,1,8,5,,,,,,,PERDIDA DE COCECHAS. AFECTADO CANAL DE RIEGO,,,,,,,,,0
05/09/2006 12:00:00 AM,BOYACÁ,TIPACOQUE,DESLIZAMIENTO,15810,,,,,,,,,,,1,,,,,,,,,0,0,0,0,,,0
11/03/2010 12:00:00 AM,RISARALDA,MARSELLA,VENDAVAL,66440,,,,270,54,,,,,,,,,,,,,,,0,0,0,0,,0,0
10/19/1999 12:00:00 AM,ANTIOQUIA,BELLO,INUNDACION,05088,,2,,803,288,14,191,,,,,,,,,,,,36455,1926600,,,,,,1926600
12/03/2012 12:00:00 AM,CHOCÓ,BAHÍA SOLANO,INUNDACION,27075,,,,,,,,,,,1,,,,,,,,,0,0,0,0,113184332,0,113184332
11/18/2004 12:00:00 AM,CESAR,MANAURE,INUNDACION,,,,,312,52,,52,,,,,,,,,,,,,0,0,0,0,,,0
01/05/2006 12:00:00 AM,QUINDIO,QUIMBAYA,DESLIZAMIENTO,63594,,,,159,32,,32,,,,,,,,,,,,38809,0,0,2471243.12,0,702728,,3173971.12
11/16/2005 12:00:00 AM,NORTE DE SANTANDER,VILLA DEL ROSARIO,DESLIZAMIENTO,54874,,2,,100,20,,20,,,,,,,,,,,,,0,0,0,0,,,0
12/11/2011 12:00:00 AM,HUILA,VILLAVIEJA,DESLIZAMIENTO,41872,,,,,,,,1,,,,,,,,,,,,0,0,0,0,,0,0
04/19/2010 12:00:00 AM,TOLIMA,RIOBLANCO,INUNDACION,73616,,,,167,33,,33,,,,,,,,,,,,,0,0,0,0,,0,0
01/14/2006 12:00:00 AM,TOLIMA,NATAGAIMA,VENDAVAL,73483,,,,73,24,,24,,,,,,,,,,,,38805,0,0,3174920,0,,,3174920
02/26/2005 12:00:00 AM,NARIÑO,LOS ANDES,INUNDACION,52418,,,,1335,267,,267,,,,,,,,,,,,38453,16020000,9879000,0,0,,,25899000
10/25/2010 12:00:00 AM,PUTUMAYO,ORITO,VENDAVAL,86320,,,,3000,600,15,5,,,,,,,,,,,,,0,0,0,0,,0,0
05/18/2013 12:00:00 AM,CORDOBA,LORICA,INUNDACION,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
07/22/2012 12:00:00 AM,ANTIOQUIA,BELLO,INCENDIO FORESTAL,05088,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
04/17/2009 12:00:00 AM,CESAR,BECERRIL,INUNDACION,20045,,,,420,84,,84,,,,,,,,,,,,,0,0,0,0,,,0
07/06/2013 12:00:00 AM,TOLIMA,CHAPARRAL,INCENDIO FORESTAL,73168,,,,,,,,,,,,,,,,3,,0,,0,0,0,0,,0,0
10/25/2007 12:00:00 AM,BOLÍVAR,SAN JACINTO DEL CAUCA,INUNDACION,13655,,,,7500,1500,341,157,,,,,,,,,,,,39462,185928000,62250000,0,0,,,248178000
02/01/2010 12:00:00 AM,NORTE DE SANTANDER,VILLA DEL ROSARIO,SEQUIA,54874,,,,,,,,,,,1,1,,,,,,,,0,0,0,0,,0,0
